Packet Number,Data receive interval,Processing data time
393,0.11101245880126953,0.004004478454589844
394,0.18964385986328125,0.00414276123046875
395,0.10024523735046387,0.0034363269805908203
396,0.0998687744140625,0.004590272903442383
397,0.0992124080657959,0.0031783580780029297
398,0.10076308250427246,0.003123044967651367
399,0.19912981986999512,0.0028438568115234375
400,0.10129904747009277,0.03763151168823242
401,0.09885478019714355,0.0024557113647460938
402,0.12049555778503418,0.004499912261962891
403,0.0900106430053711,0.0031180381774902344
404,0.23010969161987305,0.0041882991790771484
405,0.05994296073913574,0.00404047966003418
406,0.10080099105834961,0.003900766372680664
407,0.12020611763000488,0.003837108612060547
408,0.07846641540527344,0.0027637481689453125
409,0.21930599212646484,0.0040493011474609375
410,0.08116412162780762,0.0034122467041015625
411,0.0999457836151123,0.004043102264404297
412,0.11951994895935059,0.009102344512939453
413,0.07952690124511719,0.0015583038330078125
414,0.19997215270996094,0.0015358924865722656
415,0.09997344017028809,0.009766101837158203
416,0.10033464431762695,0.009685993194580078
417,0.10960698127746582,0.0016884803771972656
418,0.09039092063903809,0.0015115737915039062
419,0.2197117805480957,0.0018725395202636719
420,0.07996416091918945,0.0015408992767333984
421,0.10058736801147461,0.0018181800842285156
422,0.09952044486999512,0.0017855167388916016
423,0.09989047050476074,0.0015332698822021484
424,0.2000584602355957,0.0015330314636230469
425,0.09977936744689941,0.0014388561248779297
426,0.10022926330566406,0.0014958381652832031
427,0.0998227596282959,0.0014379024505615234
428,0.10017251968383789,0.0015039443969726562
429,0.20048785209655762,0.0015528202056884766
430,0.09949254989624023,0.010186195373535156
431,0.10002946853637695,0.010000228881835938
432,0.11033058166503906,0.009750843048095703
433,0.08959531784057617,0.0014629364013671875
434,0.20008540153503418,0.0017077922821044922
435,0.10000014305114746,0.0014121532440185547
436,0.09999489784240723,0.0014705657958984375
437,0.09982132911682129,0.001753091812133789
438,0.10994720458984375,0.0017817020416259766
439,0.24018502235412598,0.0014874935150146484
440,0.05004596710205078,0.0015575885772705078
441,0.09997677803039551,0.001558542251586914
442,0.1499650478363037,0.0014841556549072266
443,0.05008959770202637,0.0014865398406982422
444,0.2499699592590332,0.001468658447265625
445,0.050225257873535156,0.009866714477539062
