accelerometer	 104.0Hz
cycle sample index,accel X,accel Y,accel Z
551,0.022,-1.318,1.013
552,-0.930,-0.004,1.043
553,-0.532,0.880,0.990
554,-0.093,1.010,1.002
555,0.279,0.902,1.012
556,0.271,0.560,1.012
557,0.014,0.332,1.020
558,-0.152,-0.019,1.010
559,0.332,-0.362,1.002
560,1.252,-0.752,1.020
561,1.100,-1.052,1.013
562,-0.407,-0.747,0.993
563,-0.782,-0.261,0.992
564,-0.217,-0.259,1.004
565,-0.093,0.123,1.004
566,-0.462,0.251,1.008
567,-1.021,1.232,0.972
568,-0.549,1.393,1.030
569,0.452,0.107,1.040
570,0.682,-0.677,1.006
571,0.123,-0.670,1.002
572,-0.142,-0.698,1.005
573,-0.057,-0.821,1.010
574,0.065,-0.715,1.011
575,-0.143,-0.105,1.004
576,-1.024,0.446,0.978
577,-1.609,0.815,0.964
578,-0.828,1.039,0.996
579,0.569,0.632,1.017
580,0.398,0.118,1.019
581,0.113,-0.129,1.006
582,0.202,-0.464,1.000
583,0.226,-0.334,1.010
584,0.314,-0.946,1.028
585,-0.601,-0.549,1.041
586,-0.430,0.747,0.987
587,-0.187,0.865,0.989
588,0.157,0.600,1.009
589,0.197,0.464,1.020
590,0.071,0.420,1.017
591,-0.144,0.156,1.006
592,0.218,-0.350,1.002
593,1.002,-0.642,1.011
594,0.643,-0.866,1.014
595,-0.667,-0.300,0.996
596,-0.245,0.189,1.010
597,0.074,0.081,1.007
598,0.041,0.158,0.998
599,-0.257,0.176,1.000
600,-0.676,0.739,1.005
601,0.075,0.945,1.066
602,0.445,-0.395,0.996
603,0.111,-0.635,0.997
604,-0.117,-0.527,1.004
605,-0.082,-0.703,1.010
606,-0.017,-0.847,1.010
607,0.081,-0.500,1.011
608,-0.396,0.107,0.995
609,-1.298,0.505,0.968
610,-1.485,0.864,0.975
611,-0.200,0.930,1.011
612,0.724,0.236,1.024
613,0.094,0.070,1.010
614,0.029,-0.207,1.001
615,0.165,-0.450,0.997
616,0.217,-0.364,1.014
617,0.059,-0.973,1.043
618,-0.599,0.114,1.028
619,-0.398,0.868,0.978
620,-0.014,0.729,0.996
621,0.128,0.344,1.012
622,0.149,0.435,1.025
623,-0.048,0.285,1.013
624,-0.114,0.083,0.998
625,0.447,-0.359,1.005
626,0.976,-0.515,1.016
627,0.213,-0.618,1.015
628,-0.767,0.013,0.999
629,-0.020,0.281,1.011
630,0.105,0.373,1.006
631,0.149,0.156,0.996
632,-0.049,0.350,0.998
633,0.003,0.442,1.027
634,0.625,-0.091,1.074
635,0.248,-0.435,0.980
636,-0.599,-0.551,0.994
637,0.065,-0.220,1.011
638,0.162,-0.650,1.015
639,0.136,-0.893,1.017
640,0.143,-0.519,1.010
641,-0.567,0.098,0.990
642,-1.480,0.349,0.961
643,-1.299,0.654,0.989
644,0.130,0.594,1.019
645,0.518,-0.002,1.022
646,-0.066,-0.015,1.002
647,0.002,-0.347,0.996
648,0.101,-0.473,0.993
649,-0.003,-0.683,1.015
650,-0.542,-0.357,1.063
651,-0.841,0.584,0.984
652,-0.116,0.989,0.990
653,0.255,0.510,1.003
654,0.048,0.356,1.015
655,0.016,0.439,1.022
656,-0.217,0.285,1.009
657,-0.079,0.022,0.995
658,0.773,-0.146,1.007
659,1.134,-0.292,1.029
660,0.043,-0.538,1.012
661,-0.754,0.134,1.001
662,0.006,0.183,1.008
663,0.215,-0.075,1.004
664,0.088,0.098,0.997
665,-0.173,0.431,1.004
666,-0.088,0.643,1.061
667,0.364,-0.267,1.018
668,0.121,-0.433,0.984
669,-0.329,-0.373,1.000
670,0.109,-0.119,1.013
671,0.124,-0.859,1.014
672,0.221,-0.891,1.014
673,0.130,-0.343,1.006
674,-0.841,0.031,0.971
675,-1.570,0.286,0.971
676,-1.043,0.596,1.004
677,0.558,0.427,1.029
678,0.164,0.057,1.013
679,-0.166,0.120,0.996
680,-0.035,-0.371,0.995
681,0.080,-0.437,1.000
682,0.042,-0.749,1.036
683,-0.523,-0.143,1.052
684,-0.670,0.576,0.969
685,-0.091,1.063,0.991
686,0.134,0.374,1.011
687,0.164,0.544,1.016
688,0.014,0.520,1.016
689,-0.304,0.222,1.004
690,0.108,-0.312,0.998
691,1.110,-0.465,1.009
692,1.022,-0.650,1.030
693,-0.598,-0.439,1.000
694,-0.593,0.361,1.004
695,-0.013,0.224,1.007
696,0.123,0.166,1.001
697,-0.008,0.075,1.000
698,-0.429,0.667,1.012
699,0.092,0.723,1.068
700,0.305,-0.499,0.991
701,0.206,-0.365,0.997
702,-0.137,-0.333,1.005
703,0.075,-0.465,1.008
704,0.069,-1.080,1.014
705,0.322,-0.542,1.016
706,-0.261,-0.105,0.994
707,-1.271,0.135,0.957
708,-1.588,0.556,0.988
709,-0.404,0.680,1.015
710,0.799,0.209,1.028
711,-0.071,0.199,1.006
712,-0.138,-0.076,0.995
713,0.039,-0.399,0.995
714,0.128,-0.484,1.014
715,-0.094,-0.975,1.063
716,-0.444,0.261,0.999
717,-0.597,0.762,0.972
718,0.000,0.983,1.000
719,0.142,0.377,1.019
720,0.193,0.680,1.017
721,-0.158,0.347,1.012
722,-0.230,-0.014,0.997
723,0.573,-0.466,1.002
724,1.245,-0.619,1.024
725,0.412,-0.814,1.014
726,-0.809,-0.081,1.001
727,-0.294,0.238,1.006
728,0.056,0.230,1.004
729,0.020,0.048,0.999
730,-0.464,0.349,1.002
731,-0.430,1.152,1.041
732,0.276,0.305,1.021
733,0.448,-0.579,1.002
734,0.075,-0.546,0.999
735,-0.023,-0.340,1.010
736,-0.031,-0.918,1.009
737,0.211,-0.729,1.012
738,0.061,-0.258,1.007
739,-0.797,0.060,0.973
740,-1.489,0.328,0.977
741,-0.988,0.585,1.002
742,0.303,0.657,1.020
743,0.342,0.275,1.018
744,-0.179,0.217,0.994
745,-0.018,-0.220,0.998
746,0.125,-0.270,1.007
747,0.401,-0.858,1.040
748,-0.165,-0.637,1.046
749,-0.389,0.611,0.979
750,-0.479,0.941,0.985
751,0.121,0.541,1.011
752,0.250,0.620,1.017
753,0.040,0.382,1.017
754,-0.230,0.053,1.004
755,0.165,-0.358,0.999
756,0.963,-0.436,1.008
757,0.818,-0.461,1.028
758,-0.568,-0.499,1.000
759,-0.605,0.267,1.003
760,0.060,0.097,1.008
761,0.105,0.147,1.001
762,0.031,0.230,0.997
763,-0.272,0.587,1.015
764,0.111,0.450,1.070
765,0.331,-0.519,0.992
766,-0.095,-0.434,0.989
767,-0.099,-0.089,1.006
768,0.067,-0.454,1.011
769,0.103,-0.959,1.016
770,0.283,-0.565,1.016
771,-0.263,0.008,0.996
772,-1.244,0.184,0.957
773,-1.492,0.518,0.986
774,-0.447,0.633,1.015
775,0.809,0.281,1.030
776,0.099,-0.119,1.009
777,-0.015,-0.216,0.997
778,0.010,-0.391,0.992
779,-0.087,-0.338,1.006
780,-0.390,-0.265,1.060
781,-0.675,0.123,1.001
782,-0.314,0.677,0.983
783,0.271,0.670,1.001
784,0.092,0.278,1.016
785,0.168,0.540,1.017
786,-0.124,0.203,1.014
787,-0.257,0.087,0.996
788,0.244,-0.161,0.995
789,0.871,-0.055,1.016
790,0.665,-0.183,1.030
791,-0.561,-0.290,1.006
792,-0.465,0.209,1.005
793,0.120,-0.024,1.006
794,0.176,-0.033,1.001
795,0.112,0.176,1.000
796,-0.066,0.256,1.020
797,0.111,0.068,1.065
798,0.037,-0.604,0.983
799,-0.364,0.021,0.989
800,-0.038,-0.005,1.008
801,0.158,-0.192,1.013
802,0.189,-0.720,1.018
803,0.236,-0.431,1.011
804,-0.237,-0.210,0.990
805,-0.844,-0.150,0.969
806,-1.014,0.050,0.998
807,-0.384,0.263,1.017
808,0.244,0.676,1.022
809,-0.070,0.209,1.006
810,-0.094,0.036,0.997
811,-0.009,-0.260,0.996
812,-0.023,-0.267,1.010
813,-0.185,-0.671,1.071
814,-0.195,0.299,0.998
815,-0.335,0.568,0.972
816,-0.090,0.557,1.006
817,0.091,0.360,1.012
818,0.119,0.494,1.014
819,-0.084,0.289,1.012
820,-0.175,-0.016,0.999
821,0.290,-0.033,0.993
822,0.754,0.157,1.016
823,0.694,-0.103,1.031
824,-0.307,-0.486,1.010
825,-0.553,-0.179,1.003
826,0.175,-0.259,1.006
827,0.243,-0.277,1.002
828,0.146,-0.040,1.005
829,-0.287,0.342,1.033
830,-0.535,0.546,1.027
831,-0.316,-0.264,0.982
832,0.256,-0.100,1.002
833,-0.070,-0.123,1.007
834,0.070,0.011,1.011
835,0.222,-0.341,1.014
836,0.258,-0.428,1.011
837,0.007,-0.595,0.993
838,-0.303,-0.709,0.980
839,-0.872,-0.443,0.984
840,-0.849,0.156,1.013
841,-0.352,1.159,1.017
842,-0.072,0.642,1.006
843,-0.233,0.326,0.997
844,-0.148,0.064,0.997
845,-0.032,-0.136,1.010
846,0.285,-0.971,1.068
847,0.349,-0.224,1.015
848,-0.030,0.354,0.975
849,-0.593,0.351,0.993
850,-0.193,0.283,1.006
851,0.040,0.801,1.014
852,0.175,1.046,1.010
853,0.068,0.923,1.007
854,0.154,0.543,0.988
855,1.004,-0.041,1.013
856,2.192,-1.099,1.027
857,1.403,-1.366,1.040
858,-0.683,-0.740,0.987
859,-1.008,-0.286,0.989
860,-0.229,-0.348,1.004
861,0.029,-0.256,1.008
862,-0.241,0.122,1.025
863,-0.931,1.127,1.026
864,-0.859,0.343,0.970
865,-0.075,0.186,0.997
866,0.500,-0.253,1.014
867,0.348,-0.352,1.013
868,0.041,-0.574,1.008
869,0.048,-0.535,1.006
870,-0.036,-0.718,0.996
871,-0.407,-0.532,0.981
872,-1.027,-0.022,0.980
873,-1.426,0.589,0.982
874,-1.055,1.148,0.997
875,0.139,1.006,1.013
876,0.512,0.511,1.020
877,0.093,0.290,1.010
878,-0.098,-0.078,1.008
879,0.150,-0.561,1.052
880,0.419,-0.528,1.017
881,0.429,0.051,0.998
882,-0.062,0.012,0.991
883,-0.426,0.236,0.996
884,-0.290,0.601,1.005
885,-0.008,0.594,1.009
886,0.067,0.672,1.008
887,0.124,0.483,0.999
888,0.392,0.155,0.999
889,0.992,-0.324,1.019
890,1.278,-0.949,1.033
891,0.277,-1.217,1.005
892,-0.906,-0.427,0.989
893,-0.205,-0.237,1.011
894,0.093,-0.325,1.008
895,-0.014,-0.105,1.026
896,-0.737,0.911,1.025
897,-0.792,0.558,0.973
898,-0.455,0.235,0.996
899,0.203,0.030,1.006
